strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc
jackknife_plus,sinex_con,0.9433333333333334,2.8051425547841107,0.7380429009856602,8362.969186035138,10.320788621902466,0.5,300,laplace,"(200, 1000)",[[0.91666667 0.95       0.96666667 0.93333333 0.95      ]]
jackknife_plus,sinex_con,0.9033333333333332,4.94957193855576,0.6166947549125733,5977.871158207853,12.06763219833374,1.0,300,laplace,"(200, 1000)",[[0.88333333 0.9        0.91666667 0.88333333 0.93333333]]
jackknife_plus,sinex_con,0.9366666666666666,7.756798741395766,0.633677694713846,2887.676718158354,7.520198345184326,1.5,300,laplace,"(200, 1000)",[[0.93333333 0.93333333 0.91666667 0.93333333 0.96666667]]
jackknife_plus,sinex_con,0.9266666666666666,10.452338308144538,0.5809349138212361,1852.846837100012,8.313035249710083,2.0,300,laplace,"(200, 1000)",[[0.93333333 0.96666667 0.86666667 0.91666667 0.95      ]]
jackknife_plus_ab,sinex_con,0.9266666666666666,2.578060377427753,0.7592496117378067,8926.022288609658,88.59147500991821,0.5,300,laplace,"(200, 1000)",[[0.91666667 0.95       0.93333333 0.93333333 0.9       ]]
jackknife_plus_ab,sinex_con,0.8966666666666666,4.794157932581599,0.6287303415577702,6096.446757073686,81.0591390132904,1.0,300,laplace,"(200, 1000)",[[0.91666667 0.9        0.86666667 0.88333333 0.91666667]]
jackknife_plus_ab,sinex_con,0.93,7.138217629876676,0.6628909719921529,3986.19750849273,80.25030136108398,1.5,300,laplace,"(200, 1000)",[[0.93333333 0.96666667 0.9        0.91666667 0.93333333]]
jackknife_plus_ab,sinex_con,0.9033333333333332,9.302999943413868,0.6270156411189968,2673.0666152214385,69.91610789299011,2.0,300,laplace,"(200, 1000)",[[0.93333333 0.9        0.95       0.8        0.93333333]]
cqr,sinex_con,0.9166666666666666,2.969294099214181,0.7227149418566118,8417.705272430107,0.0610027313232421,0.5,300,laplace,"(200, 1000)",[[0.86666667 0.91666667 0.9        0.91666667 0.98333333]]
cqr,sinex_con,0.8666666666666667,5.373439424425301,0.5838689253749372,5679.518945983455,0.0610010623931884,1.0,300,laplace,"(200, 1000)",[[0.83333333 0.76666667 0.96666667 0.8        0.96666667]]
cqr,sinex_con,0.8866666666666667,6.625213701347622,0.6871184956303688,4345.133952568232,0.0700025558471679,1.5,300,laplace,"(200, 1000)",[[0.83333333 0.83333333 0.91666667 0.9        0.95      ]]
cqr,sinex_con,0.8833333333333333,9.523988117341988,0.6181554171117992,3283.9975630034223,0.061211347579956,2.0,300,laplace,"(200, 1000)",[[0.83333333 0.91666667 0.88333333 0.86666667 0.91666667]]
split,linear,0.9033333333333332,2.3475517872735803,0.8382467533561717,13791.184427013775,1.2249813079833984,0.5,300,laplace,"(200, 1000)",999
split,linear,0.88,4.617357878425498,0.731320019659205,10055.653510023803,1.8351008892059328,1.0,300,laplace,"(200, 1000)",999
split,linear,0.9066666666666666,7.1467108970690365,0.679713084587388,6689.29719557498,1.336230993270874,1.5,300,laplace,"(200, 1000)",999
split,linear,0.9,9.648047325050715,0.6502226135069973,6595.291929316334,0.9185187816619872,2.0,300,laplace,"(200, 1000)",999
